,date,USA_high,USA_low,CAN_high,CAN_low,Travel_high,Travel_low,RealEstate_high,RealEstate_low,PreciousMetals_high,PreciousMetals_low
0,2022-12-05,404.93,398.17,31.26,30.87,61.565,61.09,27.81,27.72,17.79,17.45
1,2022-12-02,410.0,393.3,31.55,30.81,62.11,59.8,28.06,27.2,18.02,16.47
2,2022-11-25,402.93,392.66,31.31,30.31,62.15,59.1,27.72,27.27,17.25,16.18
3,2022-11-18,402.31,390.14,30.98,30.46,63.32,61.24,27.34,26.77,16.92,16.05
4,2022-11-11,399.35,373.61,30.99,29.75,63.48,60.95,27.64,25.92,16.93,14.91
5,2022-11-04,390.39,368.79,30.31,29.36,62.69,60.6,26.74,25.9,15.37,13.91
6,2022-10-28,389.52,373.11,29.97,28.86,61.93,57.83,26.5,25.23,15.59,14.77
7,2022-10-21,375.45,357.2808,29.01,28.43,58.78,56.65,26.04,25.0,15.06,14.34
8,2022-10-14,370.26,348.11,28.77,27.37,59.15,55.56,25.42,25.0,15.39,14.31
9,2022-10-07,379.46,359.21,29.7,28.34,58.36,55.25,27.08,25.39,16.1,15.29
10,2022-09-30,372.3,357.04,28.71,28.02,56.9,54.38,26.55,25.75,15.41,13.66
11,2022-09-23,389.31,363.29,29.9,28.21,59.055,54.115,28.22,26.79,14.86,13.84
12,2022-09-16,411.73,382.11,30.57,29.46,60.47,58.09,29.25,28.05,15.1,14.04
13,2022-09-09,407.51,388.42,30.22,28.95,60.04,57.41,29.27,28.58,14.83,13.98
14,2022-09-02,405.84,390.04,30.26,28.94,59.98,55.69,29.2,28.69,14.69,13.69
15,2022-08-26,419.96,405.25,30.84,30.23,59.62,56.95,30.15,29.43,15.28,14.49
16,2022-08-19,431.73,421.22,31.2,30.71,60.66,58.85,30.87,30.33,15.39,14.74
17,2022-08-12,427.21,410.22,30.91,29.9,59.53,55.67,30.59,29.77,15.58,15.08
18,2022-08-05,415.68,406.82,30.1,29.8,58.5,56.22,30.22,29.69,15.36,14.42
19,2022-07-29,413.03,389.95,30.2,29.02,57.66,53.09,30.33,29.09,15.08,14.01
20,2022-07-22,400.18,380.66,29.31,28.45,53.89,51.36,29.06,28.3,15.67,14.78
21,2022-07-15,386.87,371.04,29.18,27.98,53.47,51.2,28.64,28.15,16.43,15.14
22,2022-07-08,390.64,372.9,29.41,28.54,53.28,50.21,29.0,28.36,16.93,15.86
